id,published,author,author_detail,authors,content,credit,dc_identifier,guidislink,link,links,media_content,media_credit,published_parsed,source,summary,summary_detail,tags,title,title_detail
25-04-2022-000,2022-04-25T11:38:04,,,,,,,FALSE,https://timesofindia.indiatimes.com/business/international-business/twitter-poised-to-accept-elon-musks-offer-report/articleshow/91075060.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/business/international-business/twitter-poised-to-accept-elon-musks-offer-report/articleshow/91075060.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""11""},{""N"":""38""},{""N"":""4""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,"Twitter Inc is nearing a deal to sell itself to Elon Musk for $54.20 per share in cash, the price that he originally offered to the social media company and called his 'best and final', people familiar with the matter said.","{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""Twitter Inc is nearing a deal to sell itself to Elon Musk for $54.20 per share in cash, the price that he originally offered to the social media company and called his 'best and final', people familiar with the matter said.""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,Twitter set to accept deal to sell itself to Elon Musk: Report,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""Twitter set to accept deal to sell itself to Elon Musk: Report""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-001,2022-04-24T23:21:10,,,,,,,FALSE,https://timesofindia.indiatimes.com/india/coronavirus-in-india-live-updates-april-25/liveblog/91059856.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/india/coronavirus-in-india-live-updates-april-25/liveblog/91059856.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""24""},{""N"":""23""},{""N"":""21""},{""N"":""10""},{""N"":""6""},{""N"":""114""},{""N"":""0""}]",,"Amid Covid surge in Delhi, there has been a six-fold rise in patients under home isolation. India reported 2,541 new Covid cases. The daily positivity rate was at 0.84 per cent, while the weekly positivity stands at 0.54 per cent. India has conducted 83.50 crore Covid tests so far. Stay with TOI for latest updates:","{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""Amid Covid surge in Delhi, there has been a six-fold rise in patients under home isolation. India reported 2,541 new Covid cases. The daily positivity rate was at 0.84 per cent, while the weekly positivity stands at 0.54 per cent. India has conducted 83.50 crore Covid tests so far. Stay with TOI for latest updates:""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,Live: 6-fold rise in patients under home isolation in Delhi,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""Live: 6-fold rise in patients under home isolation in Delhi""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-002,2022-04-25T11:37:01,,,,,,,FALSE,https://timesofindia.indiatimes.com/india/jignesh-mevani-gets-bail-in-tweet-case-re-arrested-for-assaulting-woman-officer-in-assam/articleshow/91074161.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/india/jignesh-mevani-gets-bail-in-tweet-case-re-arrested-for-assaulting-woman-officer-in-assam/articleshow/91074161.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""11""},{""N"":""37""},{""N"":""1""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,"Gujarat MLA Mevani gets bail in tweet case, re-arrested in another","{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""Gujarat MLA Mevani gets bail in tweet case, re-arrested in another""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-003,2022-04-25T11:18:42,,,,,,,FALSE,https://timesofindia.indiatimes.com/sports/cricket/ipl/live-blog/pbks-vs-csk-live-score-updates-ipl-2022-punjab-kings-chennai-super-kings/liveblog/91074484.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/sports/cricket/ipl/live-blog/pbks-vs-csk-live-score-updates-ipl-2022-punjab-kings-chennai-super-kings/liveblog/91074484.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""11""},{""N"":""18""},{""N"":""42""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,"Check PBKS vs CSK IPL live score updates, scorecard, Ball by ball commentary, live streaming and highlights on Times of India. Chennai Super Kings skipper Ravindra Jadeja won the toss and decided to field first against Punjab Kings at Wankhede stadium in Mumbai.","{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""Check PBKS vs CSK IPL live score updates, scorecard, Ball by ball commentary, live streaming and highlights on Times of India. Chennai Super Kings skipper Ravindra Jadeja won the toss and decided to field first against Punjab Kings at Wankhede stadium in Mumbai.""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,IPL Live: Chennai opt to bowl against Punjab Kings,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""IPL Live: Chennai opt to bowl against Punjab Kings""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-004,2022-04-25T11:38:59,,,,,,,FALSE,https://timesofindia.indiatimes.com/city/mumbai/hanuman-chalisa-row-bombay-hc-refuses-to-quash-fir-against-mp-navneet-rana-and-her-mla-husband-ravi-rana/articleshow/91075075.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/city/mumbai/hanuman-chalisa-row-bombay-hc-refuses-to-quash-fir-against-mp-navneet-rana-and-her-mla-husband-ravi-rana/articleshow/91075075.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""11""},{""N"":""38""},{""N"":""59""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,The Khar police registered two FIRs against the couple after they announced that Hanuman Chalisa will be recited outside Maharashtra chief minister Uddhav Thackeray's private residence in Mumbai.,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""The Khar police registered two FIRs against the couple after they announced that Hanuman Chalisa will be recited outside Maharashtra chief minister Uddhav Thackeray's private residence in Mumbai.""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,Hanuman Chalisa row: No HC relief for Rana couple,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""Hanuman Chalisa row: No HC relief for Rana couple""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-005,2022-04-25T04:51:46,,,,,,,FALSE,https://timesofindia.indiatimes.com/world/china/lockdown-jitters-hit-beijing-as-shanghai-covid-deaths-climb/articleshow/91063880.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/world/china/lockdown-jitters-hit-beijing-as-shanghai-covid-deaths-climb/articleshow/91063880.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""4""},{""N"":""51""},{""N"":""46""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,China’s coronavirus outbreak worsened as rising cases in Beijing sparked jitters about an unprecedented lockdown of the capital. It’s also sparked a bout of panic buying as Beijing residents rushed to stock up on supplies.,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""China’s coronavirus outbreak worsened as rising cases in Beijing sparked jitters about an unprecedented lockdown of the capital. It’s also sparked a bout of panic buying as Beijing residents rushed to stock up on supplies.""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,Lockdown jitters hit Beijing as Shanghai Covid deaths climb,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""Lockdown jitters hit Beijing as Shanghai Covid deaths climb""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-006,2022-04-25T02:56:11,,,,,,,FALSE,https://www.gadgetsnow.com/slideshows/rising-covid-cases-11-medical-gadgets-to-keep-at-home/photolist/91055852.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://www.gadgetsnow.com/slideshows/rising-covid-cases-11-medical-gadgets-to-keep-at-home/photolist/91055852.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""2""},{""N"":""56""},{""N"":""11""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,Rising Covid cases: Medical gadgets to keep at home,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""Rising Covid cases: Medical gadgets to keep at home""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-007,2022-04-25T10:26:02,,,,,,,FALSE,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/exclusive-ipl-2022-he-will-make-the-whole-country-proud-someday-umran-maliks-father-hopes-to-see-his-son-play-for-india-in-a-world-cup/articleshow/91072277.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/exclusive-ipl-2022-he-will-make-the-whole-country-proud-someday-umran-maliks-father-hopes-to-see-his-son-play-for-india-in-a-world-cup/articleshow/91072277.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""10""},{""N"":""26""},{""N"":""2""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,"""Umran has made me popular in the market and in fact in Jammu overall. Everyone greets me saying 'adaab' in the market. I am really proud of my son,"" Umran's Abdul Rashid told TimesofIndia.com from Jammu. India's new speed gun Umran consistently bowls at 145- 150kph plus and is India's fastest bowler currently.","{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""\""Umran has made me popular in the market and in fact in Jammu overall. Everyone greets me saying 'adaab' in the market. I am really proud of my son,\"" Umran's Abdul Rashid told TimesofIndia.com from Jammu. India's new speed gun Umran consistently bowls at 145- 150kph plus and is India's fastest bowler currently.""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,'He will make the whole country proud someday': Umran's father,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""'He will make the whole country proud someday': Umran's father""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-008,2022-04-25T09:04:07,,,,,,,FALSE,https://www.gadgetsnow.com/more-gadgets/rumoured-google-pixel-watch-revealed-in-leaked-images/articleshow/91069399.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://www.gadgetsnow.com/more-gadgets/rumoured-google-pixel-watch-revealed-in-leaked-images/articleshow/91069399.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""9""},{""N"":""4""},{""N"":""7""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,This is how Google's first smartwatch may look like,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""This is how Google's first smartwatch may look like""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
25-04-2022-009,2022-04-25T13:14:11,,,,,,,FALSE,https://timesofindia.indiatimes.com/auto/cars/biggest-car-flops-in-india-in-last-10-years-mahindra-quanto-to-nissan-terrano/articleshow/91069176.cms,"[{""M"":{""rel"":{""S"":""alternate""},""type"":{""S"":""text/html""},""href"":{""S"":""https://timesofindia.indiatimes.com/auto/cars/biggest-car-flops-in-india-in-last-10-years-mahindra-quanto-to-nissan-terrano/articleshow/91069176.cms""}}}]",,,"[{""N"":""2022""},{""N"":""4""},{""N"":""25""},{""N"":""13""},{""N"":""14""},{""N"":""11""},{""N"":""0""},{""N"":""115""},{""N"":""0""}]",,"Entering a new segment in a price-competitive automobile market like India can always go wrong, and here is a list of some of those cars that failed to perform well in the Indian market in the last 10 years.","{""language"":{""S"":""en-IN""},""type"":{""S"":""text/html""},""value"":{""S"":""Entering a new segment in a price-competitive automobile market like India can always go wrong, and here is a list of some of those cars that failed to perform well in the Indian market in the last 10 years.""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}",,Biggest flop cars of India in last 10 years!,"{""language"":{""S"":""en-IN""},""type"":{""S"":""text/plain""},""value"":{""S"":""Biggest flop cars of India in last 10 years!""},""base"":{""S"":""https://timesofindia.indiatimes.com/rssfeedstopstories.cms""}}"
