,links,summary,published,published_parsed,summary_detail,guidislink,link,id,title_detail,title,content,credit,author_detail,media_content,tags,author,media_credit,authors,source,dc_identifier
0,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/world/europe/g7-countries-pledge-to-stop-russia-oil-imports/articleshow/91424977.cms'}]","The G7 club of wealthy nations committed Sunday to phasing out its dependency on Russian oil and issued a scathing statement accusing President Vladimir Putin of bringing ""shame"" on Russia with his invasion of Ukraine. ""We commit to phase out our dependency on Russian energy, including by phasing out or banning the import of Russian oil,"" the joint statement said.",2022-05-09T02:10:17+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('20'), Decimal('40'), Decimal('17'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'The G7 club of wealthy nations committed Sunday to phasing out its dependency on Russian oil and issued a scathing statement accusing President Vladimir Putin of bringing ""shame"" on Russia with his invasion of Ukraine. ""We commit to phase out our dependency on Russian energy, including by phasing out or banning the import of Russian oil,"" the joint statement said.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/world/europe/g7-countries-pledge-to-stop-russia-oil-imports/articleshow/91424977.cms,09-05-2022-000,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Ukraine war: G7 countries pledge to stop Russia oil imports', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",Ukraine war: G7 countries pledge to stop Russia oil imports,,,,,,,,,,
1,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/khalistan-flags-found-tied-on-hp-house-gate-probe-begins/articleshow/91424165.cms'}]","Khalistan flags appeared at the main entrance to the Himachal Pradesh assembly complex at Kaned in Kangra district on Sunday morning, accompanied by a sprinkling of graffiti in green across the white boundary wall. The district administration set up an SIT to probe the intrusion, which might have happened late the previous night or before dawn, the police said.",2022-05-09T00:18:20+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('18'), Decimal('48'), Decimal('20'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'Khalistan flags appeared at the main entrance to the Himachal Pradesh assembly complex at Kaned in Kangra district on Sunday morning, accompanied by a sprinkling of graffiti in green across the white boundary wall. The district administration set up an SIT to probe the intrusion, which might have happened late the previous night or before dawn, the police said.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/india/khalistan-flags-found-tied-on-hp-house-gate-probe-begins/articleshow/91424165.cms,09-05-2022-001,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Khalistan flags found tied on HP House gate, probe begins', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}","Khalistan flags found tied on HP House gate, probe begins",,,,,,,,,,
2,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/no-grand-alliance-for-2024-only-tie-up-with-130-crore-indians-arvind-kejriwal/articleshow/91424619.cms'}]","Delhi CM and national convenor of Aam Aadmi Party (AAP) Arvind Kejriwal ruled out any grand alliance for 2024. He said his alliance will only be “with 130 crore Indians”. Speaking at an event in the city, Kejriwal said he could never understand multi-party alliance and is not interested in any tie-ups. ""I don’t want to defeat anyone, I want the country to win,” he said.",2022-05-09T01:00:52+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('19'), Decimal('30'), Decimal('52'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'Delhi CM and national convenor of Aam Aadmi Party (AAP) Arvind Kejriwal ruled out any grand alliance for 2024. He said his alliance will only be “with 130 crore Indians”. Speaking at an event in the city, Kejriwal said he could never understand multi-party alliance and is not interested in any tie-ups. ""I don’t want to defeat anyone, I want the country to win,” he said.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/india/no-grand-alliance-for-2024-only-tie-up-with-130-crore-indians-arvind-kejriwal/articleshow/91424619.cms,09-05-2022-002,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'No ‘grand alliance’ for 2024, says Arvind Kejriwal', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}","No ‘grand alliance’ for 2024, says Arvind Kejriwal",,,,,,,,,,
3,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/despite-rise-in-cases-weekly-covid-deaths-at-lowest-in-26-months/articleshow/91425105.cms'}]","Covid-19 infections appear to be causing fewer and fewer deaths in India. While the number of infections has risen over the past four weeks, with active cases now crossing 20,000, there were just around 20 deaths from the virus reported in the week ending Sunday. The weekly death toll is now the lowest since mid March 2020, when just a few hundred cases were being reported each week in India.",2022-05-09T02:19:50+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('20'), Decimal('49'), Decimal('50'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'Covid-19 infections appear to be causing fewer and fewer deaths in India. While the number of infections has risen over the past four weeks, with active cases now crossing 20,000, there were just around 20 deaths from the virus reported in the week ending Sunday. The weekly death toll is now the lowest since mid March 2020, when just a few hundred cases were being reported each week in India.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/india/despite-rise-in-cases-weekly-covid-deaths-at-lowest-in-26-months/articleshow/91425105.cms,09-05-2022-003,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Despite rise in cases, weekly Covid deaths at lowest in 26 months', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}","Despite rise in cases, weekly Covid deaths at lowest in 26 months",,,,,,,,,,
4,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/cyclone-asani-likely-to-spare-odisha-bengal/articleshow/91424731.cms'}]","Despite the IMD forecast that cyclone Asani is likely to spare Odisha coast, the state government is planning to evacuate people from low-lying areas as a precautionary measure. Like Odisha, Asani is likely to spare Bengal as well. The coastal districts of East Midnapore, South and North 24 Parganas are predicted to receive rain till Thursday.",2022-05-09T01:15:51+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('19'), Decimal('45'), Decimal('51'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'Despite the IMD forecast that cyclone Asani is likely to spare Odisha coast, the state government is planning to evacuate people from low-lying areas as a precautionary measure. Like Odisha, Asani is likely to spare Bengal as well. The coastal districts of East Midnapore, South and North 24 Parganas are predicted to receive rain till Thursday.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/india/cyclone-asani-likely-to-spare-odisha-bengal/articleshow/91424731.cms,09-05-2022-004,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Cyclone Asani likely to spare Odisha, Bengal', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}","Cyclone Asani likely to spare Odisha, Bengal",,,,,,,,,,
5,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/airline-refuses-to-let-boy-with-special-needs-board/articleshow/91425136.cms'}]","An anxious 13-year-old boy in a wheelchair was deemed to be a threat to fellow passengers and denied boarding by IndiGo at Ranchi airport on Saturday, sparking a backlash on social media that prompted the airline to make special arrangements to fly out the teenager and his parents to Hyderabad the next morning. IndiGo later said it had to take such a decision “in view of the safety of passengers”.",2022-05-09T02:31:09+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('21'), Decimal('1'), Decimal('9'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'An anxious 13-year-old boy in a wheelchair was deemed to be a threat to fellow passengers and denied boarding by IndiGo at Ranchi airport on Saturday, sparking a backlash on social media that prompted the airline to make special arrangements to fly out the teenager and his parents to Hyderabad the next morning. IndiGo later said it had to take such a decision “in view of the safety of passengers”.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/india/airline-refuses-to-let-boy-with-special-needs-board/articleshow/91425136.cms,09-05-2022-005,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Airline refuses to let boy with special needs board', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",Airline refuses to let boy with special needs board,,,,,,,,,,
6,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/amit-shah-pm-modi-template-for-what-it-means-to-be-a-national-leader/articleshow/91424445.cms'}]","PM Narendra Modi is now the template for what it means to be a “national leader”, home minister Amit Shah has said, asserting that the label was earlier handed out to even politicians of no proven merit and only capable of winning election from one or two safe Lok Sabha seats.",2022-05-09T00:37:12+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('19'), Decimal('7'), Decimal('12'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'PM Narendra Modi is now the template for what it means to be a “national leader”, home minister Amit Shah has said, asserting that the label was earlier handed out to even politicians of no proven merit and only capable of winning election from one or two safe Lok Sabha seats.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/india/amit-shah-pm-modi-template-for-what-it-means-to-be-a-national-leader/articleshow/91424445.cms,09-05-2022-006,"{'language': 'en-IN', 'type': 'text/plain', 'value': ""Amit Shah: PM template for what it means to be nat'l leader"", 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",Amit Shah: PM template for what it means to be nat'l leader,,,,,,,,,,
7,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/world/europe/russia-ukraine-war-may-9/liveblog/91425940.cms'}]",Buses carrying some of the last weary civilian evacuees from the besieged Azovstal steel works reached Ukrainian-controlled territory on Sunday - the culmination of an international effort to extricate people trapped in bunkers under the Mariupol plant.Stay with TOI for latest updates:,2022-05-09T03:37:06+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('22'), Decimal('7'), Decimal('6'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'Buses carrying some of the last weary civilian evacuees from the besieged Azovstal steel works reached Ukrainian-controlled territory on Sunday - the culmination of an international effort to extricate people trapped in bunkers under the Mariupol plant.Stay with TOI for latest updates:', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/world/europe/russia-ukraine-war-may-9/liveblog/91425940.cms,09-05-2022-007,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Live: Over 170 civilians evacuated from Mariupol', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",Live: Over 170 civilians evacuated from Mariupol,,,,,,,,,,
8,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/india/gujarat-link-comes-to-fore-in-latest-us-entry-bid/articleshow/91424840.cms'}]","The American dream of a Gujarat family of four had frozen with their bodies on the Canada border on January 16. Now, it has emerged on Sunday that the US aspirations of six other Gujaratis nearly sank them in frigid waters while they attempted a similar illegal entry into USA from the Canada border.",2022-05-09T01:37:32+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('20'), Decimal('7'), Decimal('32'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'The American dream of a Gujarat family of four had frozen with their bodies on the Canada border on January 16. Now, it has emerged on Sunday that the US aspirations of six other Gujaratis nearly sank them in frigid waters while they attempted a similar illegal entry into USA from the Canada border.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/india/gujarat-link-comes-to-fore-in-latest-us-entry-bid/articleshow/91424840.cms,09-05-2022-008,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Gujarat link comes to fore in latest US entry bid', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",Gujarat link comes to fore in latest US entry bid,,,,,,,,,,
9,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://timesofindia.indiatimes.com/business/india-business/jet-2-0-gets-security-nod-from-govt/articleshow/91425674.cms'}]","The home ministry has granted security clearance to Jet Airways that is planning to relaunch commercial flight operations in the next few months, according to an official document. Last Thursday, the airline conducted its test flight to and from the Hyderabad airport in a step towards obtaining the air operator certificate.",2022-05-09T03:26:29+05:30,"[Decimal('2022'), Decimal('5'), Decimal('8'), Decimal('21'), Decimal('56'), Decimal('29'), Decimal('6'), Decimal('128'), Decimal('0')]","{'language': 'en-IN', 'type': 'text/html', 'value': 'The home ministry has granted security clearance to Jet Airways that is planning to relaunch commercial flight operations in the next few months, according to an official document. Last Thursday, the airline conducted its test flight to and from the Hyderabad airport in a step towards obtaining the air operator certificate.', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",False,https://timesofindia.indiatimes.com/business/india-business/jet-2-0-gets-security-nod-from-govt/articleshow/91425674.cms,09-05-2022-009,"{'language': 'en-IN', 'type': 'text/plain', 'value': 'Jet Airways 2.0 gets security nod from govt', 'base': 'https://timesofindia.indiatimes.com/rssfeedstopstories.cms'}",Jet Airways 2.0 gets security nod from govt,,,,,,,,,,
